id,isbn,title,author,publisher,genre,category,page_num
1,9788936811549,죽음의 수용소에서,빅터 프랭클,청아출판사,,,224
2,9791141601300,이중 하나는 거짓말,김애란,문학동네,,,240
3,9788901285894,불안 세대,조너선 하이트,웅진지식하우스,,,528
4,9788998441005,원미동 사람들,양귀자,쓰다,,,428
5,9788998441074,나는 소망한다 내게 금지된 것을,양귀자,쓰다,,,368
6,9788998441012,모순,양귀자,쓰다,,,308
7,9788956609959,종의 기원,정유정,은행나무,,,384
8,9791189198862,종의 기원,찰스 로버트 다윈,사이언스북스,,,656
9,9788949707952,종의 기원,찰스 로버트 다윈,동서문화동판(동서문화사),,,736
10,9791187142560,데일 카네기 인간관계론,데일 카네기,현대지성,,,352
11,9791164459667,데일 카네기 인간관계론,데일 카네기,더스토리,,,364
12,9791191280333,데일 카네기 자기관리론,데일 카네기,현대지성,,,424
13,9791139708899,데일 카네기 성공대화론,데일 카네기,현대지성,,,416
14,9788937473401,급류,정대건,민음사,,,300
15,9791186757666,사랑 수업,윤홍균,심플라이프,,,332
16,9791170611561,당신이 누군가를 죽였다,히가시노 게이고,북다,,,432
17,9788990982704,용의자 X의 헌신,히가시노 게이고,재인,,,448
18,9788990982575,가면 산장 살인 사건,히가시노 게이고,재인,,,336
19,9788931001839,구토,장 폴 사르트르,문예출판사,,,352
20,9788933801871,서 있는 여자,박완서,세계사,,,487
21,9788987721217,자전거 도둑,박완서,다림,,,184
22,9788925578347,최선의 고통,폴 블룸,알에이치코리아,,,344
23,9788950935658,슬픔이여 안녕,프랑수아즈 사강,arte(아르테),,,204
24,9791191861266,인생은 너무도 느리고 희망은 너무도 난폭해,프랑수아즈 사강,레모,,,140
25,9788932909349,그리스인 조르바,니코스 카잔자키스,열린책들,,,482
26,9788932030982,그리스인 조르바,니코스 카잔자키스,문학과지성사,,,587
27,9788983928207,해리 포터와 마법사의 돌,J.K. 롤링,문학수첩,,,368
28,9791192776262,해리 포터와 아즈카반의 죄수,J.K. 롤링,문학수첩,,,480
29,9788983928450,해리 포터와 비밀의 방,J.K. 롤링,문학수첩,,,400
30,9788983927682,해리 포터와 불의 잔 1,J.K. 롤링,문학수첩,,,308
31,9788983927699,해리 포터와 불의 잔 2,J.K. 롤링,문학수첩,,,312
32,9788983927705,해리 포터와 불의 잔 3,J.K. 롤링,문학수첩,,,296
33,9788983927712,해리 포터와 불의 잔 4,J.K. 롤링,문학수첩,,,284
34,9788965965046,도파민네이션,애나 렘키,흐름출판,,,316
35,9788932473901,이기적 유전자,리처드 도킨스,을유문화사,,,632
36,9788983711892,코스모스,칼 세이건,사이언스북스,,,719
37,9791190313186,지적 대화를 위한 넓고 얕은 지식 1,채사장,웨일북,,,388
38,9791190313193,지적 대화를 위한 넓고 얕은 지식 2,채사장,웨일북,,,334
39,9788937460449,데미안,헤르만 헤세,민음사,,,239
40,9788937460470,호밀밭의 파수꾼,데이비드 샐린저,민음사,,,320
41,9791167740984,도둑맞은 집중력,요한 하리,어크로스,,,464
42,9791157280292,꽃을 보듯 너를 본다,나태주,지혜,,소설/시/희곡 > 시 > 한국시,184
43,9791140709908,엔비디아 웨이,이덕주,더퀘스트,,경제경영 > 기업/경영자 스토리 > 국외 기업/경영자,276
44,9791169850360,위기의 역사,오건영,페이지2(page2),,경제경영 > 재테크/투자 > 재테크/투자 일반,480
45,9791198686114,THE MONEY BOOK 더 머니북,토스,비바퍼블리카,,경제경영 > 경제학/경제일반 > 화폐/금융/재정,464
46,9788934965909,더 좋은 삶을 위한 철학,마이클 슈어,김영사,,인문학 > 철학 일반 > 교양 철학,408
47,9791164050277,숨,테드 창,엘리,,소설/시/희곡 > 과학소설(SF) > 외국 과학소설,520
48,9791194084037,프롬프트 엔지니어의 업무일지,강수진,리코멘드,,컴퓨터/모바일 > 인공지능,368
49,9788970128856,총 균 쇠,재레드 다이아몬드,문학사상,,인문학 > 교양 인문학,760
50,9788954672214,"시선으로부터,",정세랑,문학동네,,소설/시/희곡 > 한국소설 > 2000년대 이후 한국소설,340
